FirstName;LastName;Passport;BirthdayDate;PhoneNumber;Bonus
Santiago;Strosin;190910;04.12.1983 00:04:18;77494106;0
Christopher;Miller;1420506;14.03.1952 17:51:29;72520282;0
Rita;Ondricka;8173440;14.11.1993 06:47:36;77175806;0
Jessie;Kertzmann;6945239;15.05.2020 00:37:38;76912079;0
Shelia;Moore;1439137;08.08.1981 07:40:22;73151959;0
Olivia;Casper;4567462;25.07.1924 07:47:02;79778690;0
Carmen;Lehner;2800039;11.10.1958 10:32:51;75128878;0
Roger;Schmitt;5230725;03.01.1961 10:09:24;70952805;0
Tracy;Kuhn;9647813;19.09.2012 21:42:20;71776634;0
Rodney;McKenzie;3044706;25.08.2020 15:18:21;78992664;0
Sophie;Kuvalis;8433200;10.12.1939 03:36:39;79788692;0
Edith;Runolfsson;5951518;06.01.2022 15:23:00;70345210;0
Tamara;Kovacek;981273;30.03.1986 02:06:39;78199319;0
Maxine;Jakubowski;1107904;01.09.1948 12:33:23;78180900;0
Richard;Denesik;5514249;22.10.1945 07:23:39;79238106;0
Emilio;Shanahan;2076031;28.03.1951 22:21:26;70307643;0
Caroline;Renner;379880;30.06.1983 18:08:57;70013065;0
Diane;Kertzmann;4015362;25.07.1931 06:32:36;79198093;0
Jaime;Sipes;5674747;10.02.1932 17:15:42;76742276;0
Ralph;Bernier;253142;14.09.1944 01:42:24;74062471;0
Jeannette;Kemmer;926140;19.09.1979 17:01:43;73425874;0
Jesse;Spinka;2978159;01.06.1944 22:34:33;71233085;0
Molly;Zulauf;46849;18.12.1936 01:10:51;79253931;0
Elvira;Nienow;9296306;23.03.2006 14:10:40;77497395;0
Maurice;Gottlieb;9901422;18.10.2011 13:38:39;77975553;0
Angelo;Goyette;1234705;10.11.1976 13:13:38;76910997;0
Edgar;Howell;1959707;23.01.1934 18:52:37;78655011;0
Dolores;Ziemann;7528868;26.08.1936 09:11:23;77240293;0
Lionel;Rau;1663815;17.03.1951 20:39:28;78061422;0
Sherri;Huel;2189614;19.04.1931 07:04:59;79202634;0
Brent;Russel;3427116;30.01.1947 15:54:10;74378698;0
Harriet;Ruecker;8926682;10.10.2010 13:49:29;79838870;0
Rene;Balistreri;2906409;30.07.1938 05:28:17;76025004;0
Karen;Weber;4723227;13.02.1997 09:36:17;79394859;0
Rex;Crona;1837456;13.07.1975 15:06:09;79485713;0
Andres;DuBuque;4386736;10.03.1979 16:52:22;72363374;0
Alton;Treutel;983655;26.06.2014 06:31:26;73246618;0
Stacey;Collins;7308495;22.08.1955 21:55:46;79752043;0
Matthew;Nader;4875183;29.04.1953 16:01:18;78378436;0
Diana;Lebsack;2616248;19.09.1961 18:04:10;77510863;0
Sadie;Dickens;827005;10.11.2002 00:17:05;74688700;0
Alison;Wilderman;2929548;16.01.1970 18:15:56;74963275;0
Christy;Cassin;8308605;11.01.1923 15:50:58;70833264;0

